Country,Year,HPI,Inflation_Rate,GDP,GDP_Growth_Rate,Total_Refugees,Total_Asylum,Population,HPI_Growth,Rugees_Growth,Refugees_per_1000
Estonia,2018,117.07,3.43632688420446,31222632740.72468,3.69969444001093,319,30,1321977,5.936114378789239,-21.23456790123457,0.2413052572019029
Estonia,2019,125.27,2.27725931243522,31873748770.03132,3.726653181783973,331,33,1326898,7.004356367984969,3.761755485893417,0.24945398968119628
Estonia,2020,132.79,-0.44453109767983,31820771493.89737,-2.8838100414032795,277,5,1329522,6.003033447752851,-16.314199395770395,0.2083455557711719
Estonia,2021,152.78,4.65316673847473,37204563051.47227,7.154447483343972,321,15,1330932,15.053844415995188,15.884476534296029,0.24118437305587362
Estonia,2022,186.76,19.3982634080616,38376046174.97097,0.06042783233257864,40806,631,1348840,22.241131038093982,12612.14953271028,30.252661546217492
Estonia,2023,197.72,9.15922507983982,41291245222.19485,-3.023035840661919,42005,346,1370286,5.868494324266442,2.9382933882272213,30.654184600878942
Ireland,2010,105.96,-0.918388645376774,221985621537.50043,1.682972350562579,9099,5088,4560155,-46.40906332186931,-78.33829306034997,1.9953269132299232
Ireland,2011,87.86,2.5489783020855,241337364609.73785,1.6487738997814887,8234,5380,4580084,-17.081917704794257,-9.506539180129685,1.797783621435764
Ireland,2012,76.04,1.69474116680366,227270922957.327,-0.3989599645054511,6309,5423,4599533,-13.453221033462318,-23.378673791595823,1.3716609925398948
Ireland,2013,76.99,0.515099484900573,243301556084.98892,2.1921757436481784,5991,5464,4623816,1.2493424513413842,-5.040418449833571,1.2956830462111812
Ireland,2014,89.72,0.190916398713745,266787238499.03003,9.336033728686232,5832,4576,4657740,16.534614885050015,-2.6539809714571856,1.2521093921086193
Ireland,2015,100,-0.330959783371788,302391428540.03467,24.61556997662558,6108,4982,4701957,11.457868925546146,4.732510288065844,1.2990335726166784
Ireland,2016,107.46,0.0201247735963237,305733136180.907,1.2226386099642923,5720,4221,4755335,7.459999999999995,-6.352324819908317,1.2028595251438647
Ireland,2017,119.14,0.362173038229378,348532394023.5947,10.049628539461366,6394,5991,4807388,10.869160617904344,11.783216783216783,1.330036185970427
Ireland,2018,131.33,0.471130713712916,395461216460.4177,7.544341907600312,6012,7159,4867316,10.231660231660241,-5.9743509540193935,1.2351776625967987
Ireland,2019,134.41,0.937842961189274,407124824064.9954,5.040550288017997,7795,7853,4934340,2.3452371887611236,29.657351962741185,1.5797452141522474
Ireland,2020,134.82,-0.326183651280033,436555518400.451,7.157898830572094,9035,7393,4985382,0.30503682761699025,15.907633098139835,1.812298435706632
Ireland,2021,145.98,2.34034113447044,531306516907.9837,16.255613244600212,9571,6904,5033164,8.277703604806407,5.932484781405645,1.90158715273335
Ireland,2022,163.96,7.82945736434105,548570250341.9866,8.619503551914917,81256,15108,5165700,12.316755719961652,748.9812976700449,15.729910757496565
Ireland,2023,168.99,6.29942487419125,551394889339.7783,-5.530007360955366,113902,22250,5307600,3.0678214198585025,40.17672541104657,21.4601703218027
Spain,2010,134.55,1.79986457728769,1427989078916.6694,0.09412231666826187,3814,2688,46576897,-20.379904136339423,-96.6515074362171,0.08188609043663857
Spain,2011,124.27,3.1961018883379,1487568659241.248,-0.6399206912873723,4220,2670,46742697,-7.640282422891128,10.644992134242266,0.09028148290202424
Spain,2012,105.9,2.44612782366809,1330994811670.3127,-2.865113672910695,4502,2790,46773055,-14.78232880019312,6.682464454976303,0.09625199807880841
Spain,2013,96.24,1.40858109183019,1362186923157.651,-1.4273221918188028,4641,4329,46620045,-9.121813031161482,3.08751665926255,0.09954945345934352
Spain,2014,96.54,-0.151114837527235,1380244561361.956,1.520485922798187,5797,7508,46480882,0.31172069825437587,24.90842490842491,0.12471794317500258
Spain,2015,100,-0.500365709903242,1206164777553.1245,4.060866697185688,6447,11023,46444832,3.5840066293764177,11.212696222183888,0.13880984648625708
Spain,2016,104.62,-0.202598000426452,1243015667917.1238,2.9151560280817392,12983,20360,46484062,4.6200000000000045,101.3804870482395,0.2793000319120132
Spain,2017,111.1,1.95607633363963,1321754088818.826,2.8960420808163008,17541,34866,46593236,6.193844389218112,35.107448201494265,0.37647095385261503
Spain,2018,118.58,1.6749813686379,1431642809327.058,2.3954112036424675,20437,78685,46797754,6.732673267326737,16.509891112251296,0.4367089924871181
Spain,2019,124.71,0.699518994458739,1403496387686.2722,1.9611785315134969,57751,133030,47134837,5.169505818856464,182.5806135929931,1.2252296533877904
Spain,2020,127.5,-0.322753017299739,1289783836971.2097,-10.940070659186643,103624,103385,47365655,2.237190281452976,79.43239078111202,2.1877455299625854
Spain,2021,132.19,3.0931351197642,1461244901852.6897,6.683144185002803,122539,103850,47415794,3.678431372549018,18.253493399212537,2.584349847647811
Spain,2022,141.98,8.39057634118627,1446498147749.033,6.179312225729632,314490,134580,47759127,7.4060065057871185,156.64482328075144,6.584919360020965
Spain,2023,147.69,3.53236133492433,1620090734956.8914,2.675663492582288,385701,204270,48347910,4.021693196224827,22.643327291805782,7.977614751082312
France,2010,99.74,1.53112270420926,2646230027988.3384,2.000324726999807,200687,48576,65026211,-32.46665312478841,-47.96824483213681,3.0862477901411167
France,2011,105.46,2.11159795174994,2870408553990.278,2.437576568770794,210207,49240,65340830,5.734910767996791,4.743705372047018,3.217084937549768
France,2012,104.88,1.9541953161351,2683007095787.227,0.18383527101957495,217865,49885,65657659,-0.5499715531955228,3.6430756349693403,3.31819628232557
France,2013,102.93,0.863715497861805,2816077607875.2627,0.7817564459134019,232487,51691,65997932,-1.859267734553765,6.711495650976522,3.522640679104915
France,2014,101.36,0.50775882293799,2861236112552.4214,0.997832937998666,252248,55826,66312067,-1.5253084620616024,8.499830098026987,3.8039532080940863
France,2015,100,0.0375143805125182,2442483452642.4985,1.0667547348890878,273117,63043,66548272,-1.3417521704814517,8.273207319780534,4.104043452848783
France,2016,101.04,0.18333486112386,2470407619777.1265,0.860031082016107,304527,62764,66724104,1.0400000000000063,11.500565691626665,4.563972863539689
France,2017,104.24,1.03228275064662,2588868323334.7104,2.083614850620762,337158,63115,66918020,3.167062549485341,10.71530603197746,5.03837381918951
France,2018,107.29,1.85081508315502,2781576320884.39,1.6459087293270898,368345,89055,67158348,2.9259401381427583,9.249965891362507,5.4847239541985155
France,2019,110.86,1.10825492288294,2722793515171.7603,2.0274464763963493,407915,102140,67382061,3.3274303290148133,10.742646160528851,6.0537625882354655
France,2020,116.62,0.476498852725066,2647926055110.0464,-7.44064593044142,436055,118137,67601110,5.195742377773773,6.898496010198203,6.450411834953597
France,2021,123.98,1.64233141038385,2966433692008.092,6.882337865903551,499914,75708,67842811,6.311095866918196,14.644712249601541,7.368710002302233
France,2022,131.82,5.22236748369735,2796302210398.844,2.5708404744396915,612934,75047,68065015,6.32360058073882,22.607888556831774,9.005125467172821
France,2023,131.26,4.87835726508441,3051831611384.76,0.9364875026714828,664366,79642,68287487,-0.4248217265968763,8.391115519778639,9.72895663886416
Croatia,2010,110.47,1.03055505333574,58981738868.75296,-1.3340815240057111,933,64,4295427,-15.838793234801152,-99.85956536005756,0.21720774209409213
Croatia,2011,110.66,2.2727272727273,62903737379.78343,-0.09775145274466011,818,219,4280622,0.17199239612564293,-12.32583065380493,0.1910937242297965
Croatia,2012,108.93,3.41207349081358,57551963753.2104,-2.253745580785832,722,329,4260368,-1.563347189589725,-11.7359413202934,0.16946892850570655
Croatia,2013,104.63,2.21658206429779,59852401272.32039,-0.1254498262114936,679,189,4233922,-3.94748921325623,-5.955678670360111,0.1603714003233881
Croatia,2014,102.98,-0.215196159576268,59612144078.413345,-0.5571501973061004,724,87,4201598,-1.5769855681926708,6.62739322533137,0.17231539047762304
Croatia,2015,100,-0.464499004644911,51005200669.69412,2.323175158038552,517,30,4151725,-2.8937657797630645,-28.591160220994478,0.12452655221624746
Croatia,2016,100.89,-1.12500000000002,52654855638.1057,3.4611294735676665,300,529,4106867,0.8900000000000006,-41.97292069632495,0.0730483845714994
Croatia,2017,104.75,1.12937210282347,56186190437.99587,3.2809581214065844,508,406,4041407,3.8259490534245213,69.33333333333334,0.12569879747325624
Croatia,2018,111.14,1.50012501041756,61668130122.58781,2.90468149344008,787,198,3988775,6.100238663484488,54.92125984251969,0.19730368346171442
Croatia,2019,121.1,0.771820346498019,61467582193.682434,3.100439114437578,916,454,3949390,8.961669965808884,16.39135959339263,0.23193455191814433
Croatia,2020,130.38,0.154811374562106,57963370885.07977,-8.311642578846872,956,567,3914206,7.663088356729976,4.366812227074235,0.24423855055150392
Croatia,2021,139.91,2.55450699642041,69006802298.6956,12.631700327771185,1020,562,3878981,7.309403282712074,6.694560669456067,0.26295565768432483
Croatia,2022,160.69,10.7805806758686,71198635101.95143,7.287936432065649,20638,1200,3855641,14.852405117575584,1923.3333333333335,5.352676766327571
Croatia,2023,179.88,7.9412817758683,84393795502.44211,3.302544880863252,25029,1597,3859686,11.9422490509677,21.27628646186646,6.484724405042275
Italy,2010,118.1,1.52551602118248,2144936254535.004,1.5291057572893294,56402,4070,59277417,-34.34511896820103,125.34659794638219,0.9514922014904934
Italy,2011,119.7,2.78063272879323,2306974020278.215,0.6954631292078517,58066,13525,59379449,1.3547840812870522,2.950249991135066,0.9778804111166475
Italy,2012,116.7,3.04136333226775,2097929495121.68,-3.1252387954381646,64782,14320,59539717,-2.506265664160401,11.566148865084559,1.0880468242736188
Italy,2013,109.1,1.21999342274306,2153225581941.457,-1.818025061042832,76248,13635,60233948,-6.512425021422458,17.699360933592665,1.265864226598595
Italy,2014,104,0.241047429826756,2173255507985.8352,-0.00138763976492839,93712,45730,60789140,-4.674610449129235,22.90420732347078,1.5415911460501004
Italy,2015,100,0.0387903996579733,1845428048839.1008,0.8856676380467832,118036,60135,60730582,-3.8461538461538463,25.956120880997098,1.9436006722280381
Italy,2016,100.3,-0.09401665691575,1887111188176.931,1.2362211072750997,147362,99896,60627498,0.29999999999999716,24.84496255379715,2.4306132507727765
Italy,2017,99.2,1.22653316645812,1970720904584.7092,1.6036999464836157,167330,186645,60536709,-1.0967098703888278,13.550304691847288,2.764107972899551
Italy,2018,98.6,1.13748763600391,2099435266458.665,0.8266466973636994,189227,105606,60421760,-0.6048387096774279,13.08611725333174,3.1317690845152475
Italy,2019,98.5,0.611246943765304,2019606796583.526,0.4291625343719119,207602,47030,59729081,-0.10141987829614027,9.71055927536768,3.475727342933671
Italy,2020,100.4,-0.13770757391651,1907481094079.227,-8.868221210463872,128033,53901,59438851,1.92893401015229,-38.327665436749164,2.1540288522737425
Italy,2021,103,1.87378325762481,2179207773596.089,8.931062066007797,144862,51779,59133173,2.5896414342629424,13.144267493536823,2.4497586151854223
Italy,2022,106.9,8.20128991161718,2102995942720.4363,4.661762651136954,296181,79979,59013667,3.786407766990297,104.45734561168561,5.018854361312608
Italy,2023,108.3,5.62219442195901,2300941152991.805,0.6976329941967805,298296,146922,58993475,1.3096351730589255,0.7140903704153879,5.056423612950415
Cyprus,2010,112.9,2.43004084102254,25799940077.607452,2.283544997029168,3397,5385,1127816,4.247460757156056,-98.86119827285648,3.012016144477468
Cyprus,2011,111.09,3.28944939564211,27641547909.70109,0.416712762832276,3498,3042,1146493,-1.603188662533217,2.973211657344716,3.0510434865280467
Cyprus,2012,107.7,2.38905410042317,25047436974.68195,-3.447381423936193,3627,2624,1165397,-3.051579800162031,3.687821612349914,3.1122441537089935
Cyprus,2013,103.29,-0.399357676464426,23959712860.83313,-6.587476957000732,3879,2629,1183895,-4.094707520891362,6.9478908188585615,3.276472998027697
Cyprus,2014,101.47,-1.35498885446315,23225918259.98236,-1.7760618111108926,5120,2436,1201801,-1.7620292380675837,31.992781644753805,4.260272707378343
Cyprus,2015,100,-2.0969976905311,19909278416.857506,3.4189229903339253,7062,2210,1219502,-1.4487040504582624,37.9296875,5.790888411827122
Cyprus,2016,100.27,-1.42916666666665,21046462280.59786,6.573591005131135,8478,3049,1237112,0.269999999999996,20.050977060322854,6.853057766798803
Cyprus,2017,102.52,0.531766496174467,22946570628.7576,5.750832460144167,9790,5216,1254275,2.2439413583325023,15.475347959424393,7.805305853979391
Cyprus,2018,104.32,1.43549119531759,25754001367.544785,6.271667304384266,11002,10267,1270737,1.755754974639092,12.379979570990807,8.65796777775417
Cyprus,2019,108.2,0.250370996758493,26196667099.53027,5.8755912300326685,12311,18799,1286671,3.719325153374243,11.89783675695328,9.568102490846535
Cyprus,2020,107.98,-0.638422797978959,25555093854.29683,-3.220634335750475,13997,20483,1302247,-0.20332717190388064,13.69506945008529,10.748344976029893
Cyprus,2021,104.33,2.44608867175474,30372874319.628525,11.38776335519998,16277,25336,1317309,-3.3802556028894295,16.289204829606344,12.356250507663729
